,DATA,ATIVO,CORRETORA,OPERACAO,QTD,  VALOR UNITARIO, SUB-TOTAL, TX LIQUIDAÇÃO, EMOLUMENTOS, CORRETAGEM, TOTAL CUSTOS, I.R.R.F.,TOTAL,,MONTANTE,HIST. QTD,R$ MEDIO,RESULTADO,DURATION
,13-jun.-19,CIEL3,CLEAR,COMPRA,200," R$ 6,620 "," R$ 1 324,00 ","0,3614","0,0552","0,0000","0,4166","R$0,00","R$1 324,42",,"1 324,42",200,"6,62","0,00",
,13-jun.-19,VULC3,CLEAR,COMPRA,200," R$ 6,570 "," R$ 1 314,00 ","0,3586","0,0548","0,0000","0,4134","R$0,00","R$1 314,41",,"1 314,41",200,"6,57","0,00",
,21-jun.-19,ENEV3,CLEAR,COMPRA,50," R$ 23,570 "," R$ 1 178,50 ","0,3213","0,0476","0,0000","0,3688","R$0,00","R$1 178,87",,"1 178,87",50,"23,58","0,00",
,21-jun.-19,QUAL3,CLEAR,COMPRA,37," R$ 22,190 "," R$ 821,03 ","0,2238","0,0332","0,0000","0,2570","R$0,00","R$821,29",,"821,29",37,"22,20","0,00",
,21-jun.-19,BOVA11,CLEAR,COMPRA,20," R$ 98,120 "," R$ 1 962,40 ","0,5349","0,0793","0,0000","0,6142","R$0,00","R$1 963,01",,"1 963,01",20,"98,15","0,00",
,4-jun.-19,BIDI4,CLEAR,DESDOBRAMENTO,6," R$ -  ,0 ", R$ -   ,"0,0000","0,0000","0,0000","0,0000","R$0,00","R$0,00",,"3 694,65",1 200,"3,08","0,00",
,17-jul.-19,OIBR3,CLEAR,COMPRA,650," R$ 1,540 "," R$ 1 001,00 ","0,2700","0,0400","0,0000","0,3100","R$0,00","R$1 001,31",,"1 001,31",650,"1,54","0,00",
,22-jul.-19,PCAR4,CLEAR,VENDA,4," R$ 90,490 "," R$ 361,96 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$361,96",,"177,96",2,"88,98","6,05",
,22-jul.-19,PCAR4,CLEAR,VENDA,2," R$ 90,320 "," R$ 180,64 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$180,64",,"0,00",0,"0,00","2,68",
,22-jul.-19,BIDI4,CLEAR,VENDA,1200," R$ 13,880 "," R$ 16 656,00 ","4,7200","0,7200","0,0000","5,4400","R$0,85","R$16 650,56",,"0,00",0,"0,00","12955,91",
,24-jul.-19,UGPA3,CLEAR,COMPRA,100," R$ 20,540 "," R$ 2 054,00 ","0,5600","0,0800","0,0000","0,6400","R$0,00","R$2 054,64",,"2 054,64",100,"20,55","0,00",
,25-jul.-19,BRDT3,CLEAR,COMPRA,98," R$ 24,500 "," R$ 2 401,00 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$2 401,00",,"2 401,00",98,"24,50","0,00",
,25-jul.-19,BRDT3,CLEAR,COMPRA,2," R$ 26,755 "," R$ 53,51 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$53,51",,"2 454,51",100,"24,55","0,00",
,19-ago.-19,BRKM5,CLEAR,VENDA,29," R$ 29,450 "," R$ 854,05 ","0,5351","0,0781","0,0000","0,6132","R$0,04","R$853,44",,"0,00",0,"0,00","-139,54",
,19-ago.-19,BOVA11,CLEAR,VENDA,5," R$ 96,370 "," R$ 481,85 ","0,3019","0,0441","0,0000","0,3459","R$0,02","R$481,50",,"1 472,26",15,"98,15","-9,25",
,19-ago.-19,UGPA3,CLEAR,VENDA,100," R$ 16,170 "," R$ 1 617,00 ","1,0131","0,1479","0,0000","1,1609","R$0,08","R$1 615,84",,"0,00",0,"0,00","-438,80",
,19-ago.-19,MGLU3,CLEAR,COMPRA,89," R$ 37,980 "," R$ 3 380,22 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$3 380,22",,"3 380,22",89,"37,98","0,00",
,19-ago.-19,MGLU3,CLEAR,COMPRA,11," R$ 37,950 "," R$ 417,45 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$417,45",,"3 797,67",100,"37,98","0,00",
,22-ago.-19,OIBR3,CLEAR,COMPRA,150," R$ 0,840 "," R$ 126,00 ","0,0300","0,0000","0,0000","0,0300","R$0,00","R$126,03",,"1 127,34",800,"1,41","0,00",
,13-set.-19,TIET11,CLEAR,COMPRA,1," R$ 10,290 "," R$ 10,29 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$10,29",,"1 272,23",101,"12,60","0,00",
,13-set.-19,BOVA11,CLEAR,VENDA,1," R$ 100,000 "," R$ 100,00 ","0,02719","0,00332","0,00000","0,0305","R$0,00","R$99,96",,"1 374,11",14,"98,15","1,81",
,13-set.-19,BOVA11,CLEAR,VENDA,4," R$ 99,550 "," R$ 398,20 ","0,10826","0,01320","0,00000","0,1215","R$0,02","R$398,06",,"981,51",10,"98,15","5,46",
,13-set.-19,BOVA11,CLEAR,VENDA,10," R$ 99,950 "," R$ 999,50 ","0,27175","0,03314","0,00000","0,3049","R$0,05","R$999,15",,"0,00",0,"0,00","17,64",
,25-set.-19,VALE3,CLEAR,VENDA,1," R$ 47,050 "," R$ 47,05 ","0,01000","0,00000","0,00000","0,0100","R$0,00","R$47,04",,"-47,04",-1,"47,04","0,00",
,4-out.-19,VALE3,CLEAR,COMPRA,1," R$ 46,460 "," R$ 46,46 ","0,01000","0,00000","18,00000","18,0100","R$0,00","R$64,47",,"0,00",0,"0,00","-17,43",
,7-out.-19,TRIS3,CLEAR,COMPRA,100," R$ 9,620 "," R$ 962,00 ","0,26000","0,03000","0,00000","0,2900","R$0,00","R$962,29",,"962,29",100,"9,62","0,00",
,11-out.-19,BIDI4,CLEAR,COMPRA,100," R$ 16,410 "," R$ 1 641,00 ","0,45000","0,06000","0,00000","0,5100","R$0,00","R$1 641,51",,"1 641,51",100,"16,42","0,00",
,30-out.-19,CIEL3,CLEAR,VENDA,100," R$ 7,660 "," R$ 766,00 ","0,20986","0,02998","0,00000","0,2398","R$0,03","R$765,76",,"662,21",100,"6,62","103,55",
,30-out.-19,CIEL3,CLEAR,VENDA,100," R$ 7,670 "," R$ 767,00 ","0,21014","0,03002","0,00000","0,2402","R$0,04","R$766,76",,"0,00",0,"0,00","104,55",
,13-dez.-19,VVAR3,CLEAR,COMPRA,100," R$ 10,660 "," R$ 1 066,00 ","0,29000","0,04000","0,00000","0,3300","R$0,00","R$1 066,33",,"1 066,33",100,"10,66","0,00",
,23-dez.-19,CVCB3,CLEAR,COMPRA,50," R$ 43,750 "," R$ 2 187,50 ","0,59923","0,07949","0,00000","0,6787","R$0,00","R$2 188,18",,"2 188,18",50,"43,76","0,00",
,23-dez.-19,BRPR3,CLEAR,COMPRA,100," R$ 13,900 "," R$ 1 390,00 ","0,38077","0,05051","0,00000","0,4313","R$0,00","R$1 390,43",,"1 390,43",100,"13,90","0,00",
,17-fev.-20,BOVA11,CLEAR,COMPRA,2000," R$ 110,000 "," R$ 220 000,00 ","44,00000","7,61422","1217,47798","1269,0922","R$0,00","R$221 269,09",,"221 269,09",2 000,"110,63","0,00",
,2020-fev.-17 02,BOVA11,CLEAR,VENDA,2000," R$ 108,000 "," R$ 216 000,00 ","43,20000","7,47578","1195,34202","1246,0178","R$0,00","R$214 753,98",,"0,00",0,"0,00","-6515,11",
,2020-mar.-04 01,CVCB3,CLEAR,COMPRA,40," R$ 22,210 "," R$ 888,40 ","0,24400","0,02678","0,00000","0,2708","R$0,00","R$888,67",,"3 076,85",90,"34,19","0,00",
,2020-mar.-04 02,CVCB3,CLEAR,COMPRA,10," R$ 22,220 "," R$ 222,20 ","0,06103","0,00670","0,00000","0,0677","R$0,00","R$222,27",,"3 299,12",100,"32,99","0,00",
,2020-mar.-04 03,IRBR3,CLEAR,COMPRA,100," R$ 18,750 "," R$ 1 875,00 ","0,51497","0,05652","0,00000","0,5715","R$0,00","R$1 875,57",,"1 875,57",100,"18,76","0,00",
,2020-mar.-16 01,AZUL4,CLEAR,VENDA,500," R$ 17,400 "," R$ 8 700,00 ","2,39000","0,28000","0,00000","2,6700","R$0,43","R$8 697,33",,"-8 697,33",-500,"17,39","0,00",
,2020-abr.-01 01,CVCB3,CLEAR,VENDA,100," R$ 9,510 "," R$ 951,00 ","0,25731","0,03088","0,00000","0,2882","R$0,05","R$950,67",,"0,00",0,"0,00","-2348,45",
,2020-abr.-01 02,IRBR3,CLEAR,VENDA,100," R$ 8,970 "," R$ 897,00 ","0,24269","0,02912","0,00000","0,2718","R$0,04","R$896,68",,"0,00",0,"0,00","-978,89",
,2020-abr.-02 01,ABCB4,CLEAR,VENDA,3," R$ 12,840 "," R$ 38,52 ","0,01058","0,00116","0,00000","0,0117","R$0,00","R$38,51",,"1 703,52",100,"17,04","-12,60",
,2020-abr.-02 02,ABCB4,CLEAR,VENDA,100," R$ 12,820 "," R$ 1 282,00 ","0,35205","0,03852","0,00000","0,3906","R$0,06","R$1 281,55",,"0,00",0,"0,00","-421,97",
,2020-abr.-02 03,QUAL3,CLEAR,VENDA,37," R$ 22,380 "," R$ 828,06 ","0,22739","0,02488","0,00000","0,2523","R$0,04","R$827,77",,"0,00",0,"0,00","6,48",
,2020-abr.-02 04,BIDI4,CLEAR,VENDA,100," R$ 10,340 "," R$ 1 034,00 ","0,28394","0,03106","0,00000","0,3150","R$0,05","R$1 033,63",,"0,00",0,"0,00","-607,88",
,2020-abr.-02 05,BBSE3,CLEAR,VENDA,100," R$ 24,310 "," R$ 2 431,00 ","0,66757","0,07304","0,00000","0,7406","R$0,12","R$2 430,13",,"0,00",0,"0,00","-387,20",
,2020-abr.-02 06,BRPR3,CLEAR,VENDA,100," R$ 8,870 "," R$ 887,00 ","0,24358","0,02665","0,00000","0,2702","R$0,04","R$886,69",,"0,00",0,"0,00","-503,74",
,2020-abr.-02 07,MGLU3,CLEAR,VENDA,100," R$ 37,500 "," R$ 3 750,00 ","1,02978","0,11266","0,00000","1,1424","R$0,19","R$3 748,66",,"0,00",0,"0,00","-49,01",
,2020-abr.-02 08,MOVI3,CLEAR,VENDA,100," R$ 7,940 "," R$ 794,00 ","0,21804","0,02385","0,00000","0,2419","R$0,04","R$793,72",,"0,00",0,"0,00","-492,68",
,2020-abr.-02 09,MRVE3,CLEAR,VENDA,100," R$ 11,080 "," R$ 1 108,00 ","0,30426","0,03329","0,00000","0,3376","R$0,05","R$1 107,61",,"0,00",0,"0,00","-280,82",
